epoch,negative_sampling_loss,dirichlet_prior_loss
1,126.421,-39053.715
2,122.884,-39066.973
3,120.003,-39080.656
4,117.520,-39094.832
5,115.470,-39109.523
6,113.727,-39124.828
7,112.173,-39140.699
8,110.714,-39157.270
9,109.389,-39174.570
10,108.074,-39192.531
11,106.746,-39211.297
12,105.467,-39230.820
13,104.128,-39251.117
14,102.720,-39272.172
15,101.231,-39294.047
16,99.703,-39316.660
17,98.109,-39340.082
18,96.461,-39364.285
19,94.727,-39389.266
20,92.905,-39415.012
21,91.053,-39441.539
22,89.155,-39468.754
23,87.170,-39496.711
24,85.190,-39525.387
25,83.135,-39554.758
26,81.132,-39584.785
27,79.070,-39615.559
28,76.947,-39646.984
29,74.927,-39679.152
30,72.870,-39711.965
31,70.722,-39745.484
32,68.832,-39779.637
33,66.859,-39814.566
34,64.959,-39850.035
35,63.124,-39886.234
36,61.351,-39923.086
37,59.664,-39960.527
38,58.026,-39998.656
39,56.486,-40037.438
40,54.998,-40076.812
41,53.583,-40116.824
42,52.340,-40157.477
43,50.976,-40198.738
44,49.813,-40240.586
45,48.786,-40283.078
46,47.723,-40326.078
47,46.819,-40369.742
48,45.896,-40413.949
49,45.077,-40458.770
50,44.320,-40504.141
51,43.634,-40550.062
52,42.977,-40596.621
53,42.355,-40643.730
54,41.812,-40691.379
55,41.300,-40739.594
56,40.891,-40788.348
57,40.403,-40837.688
58,40.003,-40887.582
59,39.676,-40937.992
60,39.308,-40988.988
61,38.986,-41040.504
62,38.714,-41092.598
63,38.431,-41145.172
64,38.222,-41198.305
65,37.972,-41251.996
66,37.792,-41306.266
67,37.585,-41360.980
68,37.368,-41416.270
69,37.266,-41472.055
70,37.086,-41528.410
71,36.939,-41585.238
72,36.802,-41642.523
73,36.656,-41700.355
74,36.531,-41758.707
75,36.449,-41817.539
76,36.378,-41876.918
77,36.282,-41936.754
78,36.172,-41997.074
79,36.098,-42057.848
80,35.975,-42119.215
81,35.898,-42181.047
82,35.843,-42243.301
83,35.742,-42306.082
84,35.670,-42369.344
85,35.621,-42433.070
86,35.546,-42497.289
87,35.478,-42562.020
88,35.424,-42627.168
89,35.380,-42692.883
90,35.311,-42758.945
91,35.260,-42825.531
92,35.192,-42892.566
93,35.141,-42960.090
94,35.100,-43028.031
95,35.010,-43096.422
96,34.981,-43165.355
97,34.923,-43234.730
98,34.855,-43304.496
99,34.803,-43374.758
100,34.755,-43445.469
101,34.701,-43516.594
102,34.660,-43588.121
103,34.647,-43660.184
104,34.545,-43732.672
105,34.523,-43805.598
106,34.492,-43878.945
107,34.436,-43952.703
108,34.407,-44026.965
109,34.352,-44101.574
110,34.279,-44176.656
111,34.260,-44252.137
112,34.194,-44328.066
113,34.186,-44404.402
114,34.120,-44481.164
115,34.073,-44558.367
116,34.071,-44635.973
117,34.004,-44713.949
118,33.975,-44792.379
119,33.907,-44871.227
120,33.873,-44950.449
121,33.811,-45030.059
122,33.821,-45110.090
123,33.769,-45190.594
124,33.719,-45271.316
125,33.651,-45352.590
126,33.623,-45434.168
127,33.589,-45516.184
128,33.571,-45598.605
129,33.499,-45681.387
130,33.447,-45764.539
131,33.425,-45848.082
132,33.387,-45932.047
133,33.370,-46016.391
134,33.321,-46101.000
135,33.290,-46186.137
136,33.230,-46271.531
137,33.188,-46357.352
138,33.144,-46443.512
139,33.149,-46530.043
140,33.089,-46616.957
141,33.060,-46704.145
142,33.030,-46791.797
143,32.994,-46879.785
144,32.972,-46968.078
145,32.910,-47056.723
146,32.889,-47145.711
147,32.877,-47235.086
148,32.809,-47324.809
149,32.764,-47414.770
150,32.752,-47505.188
151,32.733,-47595.809
152,32.694,-47686.914
153,32.650,-47778.309
154,32.610,-47869.988
155,32.576,-47962.070
156,32.543,-48054.395
157,32.544,-48147.055
158,32.503,-48240.023
159,32.436,-48333.340
160,32.424,-48427.000
161,32.406,-48520.910
162,32.377,-48615.180
163,32.327,-48709.695
164,32.298,-48804.543
165,32.289,-48899.699
166,32.240,-48995.164
167,32.229,-49091.000
168,32.157,-49187.059
169,32.179,-49283.391
170,32.172,-49380.051
171,32.109,-49476.930
172,32.076,-49574.188
173,32.045,-49671.734
174,32.011,-49769.535
175,31.999,-49867.590
176,31.960,-49966.016
177,31.911,-50064.625
178,31.940,-50163.543
179,31.906,-50262.699
180,31.851,-50362.172
181,31.860,-50461.863
182,31.808,-50561.953
183,31.782,-50662.137
184,31.792,-50762.641
185,31.734,-50863.469
186,31.691,-50964.438
187,31.679,-51065.688
188,31.664,-51167.262
189,31.664,-51268.980
190,31.603,-51371.016
191,31.596,-51473.238
192,31.603,-51575.836
193,31.534,-51678.469
194,31.498,-51781.578
195,31.525,-51884.855
196,31.527,-51988.328
197,31.475,-52092.051
198,31.433,-52195.977
199,31.437,-52300.160
200,31.403,-52404.652
201,31.357,-52509.258
202,31.318,-52614.129
203,31.307,-52719.180
204,31.278,-52824.516
205,31.283,-52930.109
206,31.282,-53035.840
207,31.230,-53141.766
208,31.263,-53247.902
209,31.193,-53354.328
210,31.179,-53460.930
211,31.141,-53567.746
212,31.164,-53674.758
213,31.135,-53781.945
214,31.120,-53889.336
215,31.128,-53997.000
216,31.077,-54104.828
