epoch,negative_sampling_loss,dirichlet_prior_loss
1,126.202,-39356.480
2,122.695,-39377.402
3,119.857,-39398.730
4,117.540,-39420.535
5,115.543,-39442.766
6,113.733,-39465.477
7,112.234,-39488.660
8,110.785,-39512.363
9,109.435,-39536.520
10,108.075,-39561.203
11,106.720,-39586.383
12,105.370,-39612.094
13,103.954,-39638.383
14,102.458,-39665.215
15,100.919,-39692.609
16,99.316,-39720.523
17,97.587,-39749.086
18,95.841,-39778.227
19,94.015,-39807.906
20,92.113,-39838.203
21,90.153,-39869.141
22,88.115,-39900.648
23,86.050,-39932.766
24,84.020,-39965.484
25,81.928,-39998.863
26,79.805,-40032.801
27,77.688,-40067.383
28,75.565,-40102.605
29,73.532,-40138.488
30,71.458,-40174.961
31,69.370,-40212.055
32,67.454,-40249.789
33,65.533,-40288.145
34,63.713,-40327.203
35,61.920,-40366.859
36,60.149,-40407.156
37,58.522,-40448.141
38,56.983,-40489.777
39,55.454,-40532.020
40,54.029,-40574.902
41,52.788,-40618.473
42,51.501,-40662.699
43,50.249,-40707.500
44,49.159,-40753.035
45,48.102,-40799.141
46,47.176,-40845.883
47,46.266,-40893.301
48,45.375,-40941.367
49,44.684,-40990.020
50,43.899,-41039.340
51,43.281,-41089.281
52,42.645,-41139.891
53,42.072,-41191.102
54,41.506,-41242.961
55,41.052,-41295.406
56,40.612,-41348.582
57,40.166,-41402.238
58,39.833,-41456.547
59,39.490,-41511.516
60,39.139,-41567.074
61,38.831,-41623.207
62,38.586,-41679.973
63,38.284,-41737.367
64,38.075,-41795.316
65,37.854,-41853.875
66,37.653,-41913.027
67,37.407,-41972.695
68,37.262,-42033.109
69,37.142,-42093.984
70,36.930,-42155.438
71,36.813,-42217.465
72,36.687,-42280.160
73,36.563,-42343.348
74,36.430,-42407.148
75,36.330,-42471.391
76,36.183,-42536.340
77,36.094,-42601.711
78,35.989,-42667.754
79,35.910,-42734.344
80,35.809,-42801.449
81,35.745,-42869.086
82,35.672,-42937.250
83,35.551,-43006.035
84,35.483,-43075.320
85,35.373,-43145.195
86,35.341,-43215.594
87,35.237,-43286.535
88,35.175,-43358.012
89,35.108,-43430.027
90,35.034,-43502.551
91,34.982,-43575.629
92,34.935,-43649.211
93,34.847,-43723.293
94,34.799,-43797.980
95,34.732,-43873.102
96,34.671,-43948.730
97,34.606,-44025.008
98,34.543,-44101.645
99,34.484,-44178.852
100,34.394,-44256.562
101,34.359,-44334.777
102,34.313,-44413.477
103,34.297,-44492.719
104,34.172,-44572.418
105,34.118,-44652.586
106,34.083,-44733.270
107,34.006,-44814.496
108,33.975,-44896.203
109,33.885,-44978.367
110,33.818,-45061.000
111,33.797,-45144.125
112,33.726,-45227.742
113,33.701,-45311.859
114,33.620,-45396.473
115,33.527,-45481.504
116,33.515,-45566.961
117,33.458,-45652.879
118,33.398,-45739.309
119,33.364,-45826.258
120,33.312,-45913.598
121,33.252,-46001.355
122,33.186,-46089.633
123,33.144,-46178.395
124,33.073,-46267.598
125,33.026,-46357.215
126,32.988,-46447.348
127,32.897,-46537.902
128,32.889,-46628.867
129,32.819,-46720.285
130,32.781,-46812.145
131,32.748,-46904.422
132,32.701,-46997.125
133,32.612,-47090.301
134,32.579,-47183.914
135,32.520,-47277.910
136,32.459,-47372.398
137,32.418,-47467.254
138,32.359,-47562.555
139,32.334,-47658.246
140,32.288,-47754.316
141,32.226,-47850.832
142,32.204,-47947.852
143,32.147,-48045.207
144,32.092,-48143.043
145,32.048,-48241.285
146,31.997,-48339.906
147,31.953,-48438.902
148,31.852,-48538.316
149,31.855,-48638.176
150,31.845,-48738.371
151,31.766,-48838.938
152,31.733,-48939.949
153,31.715,-49041.312
154,31.631,-49143.062
155,31.574,-49245.230
156,31.507,-49347.777
157,31.490,-49450.727
158,31.471,-49554.031
159,31.433,-49657.734
160,31.347,-49761.820
161,31.335,-49866.312
162,31.298,-49971.105
163,31.231,-50076.285
164,31.201,-50181.820
165,31.155,-50287.688
166,31.152,-50394.047
167,31.054,-50500.812
168,31.051,-50607.770
169,31.017,-50715.180
170,30.936,-50822.902
171,30.944,-50930.957
172,30.890,-51039.418
173,30.865,-51148.258
174,30.804,-51257.371
175,30.765,-51366.816
176,30.771,-51476.570
177,30.694,-51586.770
178,30.693,-51697.215
179,30.622,-51808.004
180,30.595,-51919.195
181,30.538,-52030.641
182,30.530,-52142.359
183,30.490,-52254.426
184,30.435,-52366.902
185,30.421,-52479.641
186,30.399,-52592.656
187,30.333,-52706.051
188,30.312,-52819.723
189,30.268,-52933.668
190,30.274,-53047.945
191,30.277,-53162.551
192,30.183,-53277.473
193,30.182,-53392.629
194,30.138,-53508.105
195,30.104,-53623.906
196,30.106,-53740.035
197,30.031,-53856.434
198,29.986,-53973.082
199,29.993,-54090.043
200,29.954,-54207.273
201,29.893,-54324.789
202,29.918,-54442.555
203,29.870,-54560.566
204,29.851,-54678.875
205,29.798,-54797.570
206,29.777,-54916.484
207,29.748,-55035.586
208,29.737,-55154.926
209,29.687,-55274.566
210,29.649,-55394.516
211,29.646,-55514.668
212,29.614,-55635.098
213,29.603,-55755.805
214,29.596,-55876.727
215,29.553,-55998.043
216,29.545,-56119.441
217,29.519,-56241.098
218,29.495,-56363.047
219,29.443,-56485.254
220,29.408,-56607.617
221,29.416,-56730.195
222,29.382,-56853.086
223,29.345,-56976.211
224,29.324,-57099.547
225,29.271,-57222.992
226,29.257,-57346.770
227,29.290,-57470.695
228,29.282,-57594.934
229,29.259,-57719.406
230,29.189,-57844.125
231,29.209,-57968.938
232,29.147,-58094.000
233,29.127,-58219.305
234,29.165,-58344.758
235,29.113,-58470.426
236,29.055,-58596.340
237,29.093,-58722.414
238,29.065,-58848.660
239,29.045,-58975.191
240,29.048,-59101.891
241,29.006,-59228.719
242,28.999,-59355.828
243,28.967,-59483.109
244,28.960,-59610.492
245,28.942,-59738.086
246,28.914,-59865.863
247,28.910,-59993.848
248,28.924,-60121.910
249,28.904,-60250.262
250,28.850,-60378.738
251,28.863,-60507.480
252,28.773,-60636.320
253,28.789,-60765.363
254,28.831,-60894.566
255,28.733,-61023.859
256,28.764,-61153.391
257,28.722,-61283.109
258,28.730,-61412.910
259,28.723,-61542.844
260,28.726,-61673.094
261,28.678,-61803.391
262,28.636,-61933.855
263,28.673,-62064.449
264,28.615,-62195.133
265,28.619,-62326.051
266,28.591,-62457.078
267,28.572,-62588.371
268,28.616,-62719.652
269,28.577,-62851.156
270,28.563,-62982.797
271,28.526,-63114.551
272,28.536,-63246.523
273,28.515,-63378.539
274,28.497,-63510.711
275,28.494,-63643.137
276,28.523,-63775.566
277,28.468,-63908.035
278,28.466,-64040.703
279,28.449,-64173.582
280,28.445,-64306.516
281,28.406,-64439.590
282,28.360,-64572.758
283,28.373,-64705.996
284,28.398,-64839.496
285,28.424,-64972.891
286,28.393,-65106.531
287,28.356,-65240.344
288,28.340,-65374.223
289,28.339,-65508.152
290,28.360,-65642.172
291,28.295,-65776.438
292,28.297,-65910.750
293,28.318,-66045.250
294,28.298,-66179.719
295,28.290,-66314.266
296,28.259,-66448.875
297,28.236,-66583.734
298,28.252,-66718.695
299,28.232,-66853.586
300,28.228,-66988.727
301,28.205,-67123.945
302,28.218,-67259.242
303,28.179,-67394.680
304,28.189,-67530.203
305,28.149,-67665.734
306,28.169,-67801.438
307,28.142,-67937.164
308,28.129,-68073.047
309,28.134,-68209.008
310,28.124,-68345.070
311,28.112,-68481.117
312,28.111,-68617.305
313,28.108,-68753.555
314,28.076,-68889.969
315,28.100,-69026.430
316,28.103,-69162.984
317,28.062,-69299.555
318,28.103,-69436.219
319,28.039,-69572.914
320,28.080,-69709.711
321,28.038,-69846.555
322,28.064,-69983.570
323,28.027,-70120.625
324,28.044,-70257.711
325,27.974,-70394.852
326,28.002,-70532.070
327,27.997,-70669.438
328,27.972,-70806.859
329,27.989,-70944.266
330,27.967,-71081.898
331,27.948,-71219.484
332,28.003,-71357.148
333,27.962,-71494.961
334,27.960,-71632.641
335,27.979,-71770.398
336,27.915,-71908.414
337,27.907,-72046.305
338,27.912,-72184.281
339,27.912,-72322.422
340,27.905,-72460.477
341,27.910,-72598.672
342,27.931,-72737.031
343,27.901,-72875.328
344,27.907,-73013.781
345,27.884,-73152.234
346,27.883,-73290.641
347,27.865,-73429.195
348,27.907,-73567.727
349,27.871,-73706.414
350,27.887,-73844.938
351,27.832,-73983.641
352,27.833,-74122.445
353,27.840,-74261.297
354,27.797,-74400.164
355,27.839,-74539.055
356,27.819,-74677.938
357,27.798,-74816.961
358,27.831,-74956.016
359,27.779,-75095.148
360,27.752,-75234.234
361,27.789,-75373.453
362,27.819,-75512.633
363,27.770,-75652.000
364,27.739,-75791.305
365,27.760,-75930.695
366,27.768,-76070.055
367,27.743,-76209.539
368,27.756,-76348.914
369,27.764,-76488.477
370,27.760,-76628.047
371,27.784,-76767.703
372,27.712,-76907.445
373,27.690,-77047.242
374,27.719,-77186.930
375,27.701,-77326.672
376,27.742,-77466.359
377,27.669,-77606.289
378,27.713,-77746.070
379,27.694,-77885.945
380,27.689,-78025.891
381,27.666,-78165.742
382,27.675,-78305.766
383,27.659,-78445.758
384,27.675,-78585.812
385,27.710,-78725.844
386,27.638,-78865.930
387,27.647,-79006.000
388,27.612,-79146.211
389,27.631,-79286.320
390,27.608,-79426.594
391,27.655,-79566.844
392,27.688,-79707.133
393,27.639,-79847.516
394,27.613,-79987.930
395,27.617,-80128.320
396,27.624,-80268.789
397,27.605,-80409.188
398,27.590,-80549.648
399,27.588,-80690.086
400,27.605,-80830.586
401,27.570,-80971.156
402,27.619,-81111.688
403,27.535,-81252.297
404,27.588,-81392.914
405,27.510,-81533.602
406,27.552,-81674.289
407,27.523,-81814.977
408,27.556,-81955.695
409,27.577,-82096.492
410,27.522,-82237.305
411,27.523,-82377.898
412,27.526,-82518.828
413,27.516,-82659.680
414,27.531,-82800.500
415,27.565,-82941.406
416,27.520,-83082.336
417,27.541,-83223.188
418,27.491,-83364.102
419,27.523,-83505.086
420,27.513,-83646.102
421,27.492,-83787.070
422,27.482,-83928.086
423,27.506,-84069.195
424,27.514,-84210.289
425,27.530,-84351.422
426,27.454,-84492.516
427,27.500,-84633.719
428,27.503,-84774.828
429,27.461,-84915.984
430,27.431,-85057.242
431,27.453,-85198.484
432,27.450,-85339.648
433,27.472,-85480.961
434,27.505,-85622.117
435,27.475,-85763.453
436,27.430,-85904.648
437,27.438,-86046.117
438,27.423,-86187.391
439,27.426,-86328.656
440,27.428,-86470.078
441,27.422,-86611.359
442,27.455,-86752.719
443,27.459,-86894.164
444,27.420,-87035.625
445,27.474,-87176.945
446,27.485,-87318.398
447,27.429,-87459.898
448,27.423,-87601.359
449,27.416,-87742.836
450,27.409,-87884.203
451,27.379,-88025.672
452,27.383,-88167.219
453,27.399,-88308.773
454,27.392,-88450.297
455,27.427,-88591.852
456,27.372,-88733.500
457,27.371,-88875.102
458,27.378,-89016.656
459,27.338,-89158.250
460,27.379,-89299.867
461,27.397,-89441.469
462,27.345,-89583.133
463,27.384,-89724.758
464,27.367,-89866.383
465,27.380,-90008.117
466,27.400,-90149.750
467,27.379,-90291.484
468,27.346,-90433.188
469,27.339,-90574.906
470,27.350,-90716.617
471,27.338,-90858.383
472,27.370,-91000.266
473,27.324,-91141.984
474,27.315,-91283.695
475,27.364,-91425.516
476,27.311,-91567.297
477,27.315,-91709.180
478,27.332,-91850.945
479,27.298,-91992.836
480,27.321,-92134.750
481,27.302,-92276.523
482,27.281,-92418.336
483,27.294,-92560.188
484,27.314,-92702.102
485,27.350,-92844.070
486,27.307,-92985.852
487,27.298,-93127.719
488,27.316,-93269.609
489,27.294,-93411.602
490,27.298,-93553.438
491,27.306,-93695.359
492,27.268,-93837.172
493,27.282,-93979.242
494,27.262,-94121.148
495,27.267,-94263.078
496,27.293,-94404.984
497,27.266,-94546.984
498,27.286,-94689.062
499,27.213,-94830.992
500,27.265,-94972.797
